HDS SKU #,SAP_CREATED_DATE,Internal Supplier Part #,DESCRIPTION,HDS_SUPPLIER_NUMBER,HDS_SUPPLIER_NAME,ProductHierarchy,MCAT,PCAT,ORDER_UNIT,EINA_PIR_QTY,EINA_UMREN,BASE_MARM_UMREN,BASE_QTY_OF_UOM,MATTYPE,GENITEMCAT,BUOM,AUOM,LENGTH_,WIDTH_,HEIGHT_,WEIGHT_,UPC,VOLUM,BASE_QUANTITY,EA_QTY_OF_UOM,EA_LENGTH_,EA_WIDTH_,EA_HEIGHT_,EA_WEIGHT_,EA_UPC,EA_VOLUM,EA_PACKAGING_LEVEL,PKG_QTY_OF_UOM,PKG_LENGTH_,PKG_WIDTH_,PKG_HEIGHT_,PKG_WEIGHT_,PKG_UPC,PKG_VOLUM,PKG_PACKAGING_LEVEL,PKG2_QTY_OF_UOM,PKG2_LENGTH_,PKG2_WIDTH_,PKG2_HEIGHT_,PKG2_WEIGHT_,PKG2_UPC,PKG2_VOLUM,PKG2_PACKAGING_LEVEL,CS_QTY_OF_UOM,CS_LENGTH_,CS_WIDTH_,CS_HEIGHT_,CS_WEIGHT_,CS_UPC,CS_VOLUM,CS_PACKAGING_LEVEL,PAL_QTY_OF_UOM,PAL_LENGTH_,PAL_WIDTH_,PAL_HEIGHT_,PAL_WEIGHT_,PAL_UPC,PAL_VOLUM,PAL_PACKAGING_LEVEL,MATRN_Duplicate,CONCAT_Error_Msg,Base_UOM_missing,Base_QTY_missing,Base_UPC_duplicate_found,Base_UPC_missing,Base_UPC_invalid,Base_Level_dimensions_missing,Base_weight_missing,Each_Level_data_missing,Each QTY > 1,Each dims = 0,Each weight = 0,Each_UPC_is_blank_or_0,Each_UPC_duplicate_found,Each_UPC_invalid,Each_Level_packaging_format_incorrect,Inner_Pack_Level_data_missing,Inner Pack QTY = 0,Inner Pack QTY = 1,Inner Pack dims = 0,Inner Pack dims = Each dims,Inner Pack dims < Each dims,Inner Pack weight = 0,Inner Pack weight = Each weight,Inner_Pack_weight_incorrect,Inner_Pack_UPC_is_blank_or_0,Inner_Pack_UPC_duplicate_found,Inner_Pack_UPC_invalid,Inner Pack UPC = Each UPC,Inner_Pack_Level_packaging_format_incorrect,Case_Level_data_missing,Case QTY = 0,Case QTY = 1,Case QTY = Inner Pack QTY,Case dims = 0,Case dims = Each dims,Case dims = Inner Pack dims,Case dims < Each dims,Case dims < Inner Pack dims,Case weight = 0,Case weight = Each weight,Case weight =  Inner Pack weight,Case_weight_incorrect,Case_UPC_is_blank_or_0,Case_UPC_duplicate_found,Case_UPC_invalid,Case UPC = Each UPC,Case UPC = Inner Pack UPC,Case_Level_packaging_format_incorrect,Pallet_Level_data_missing,Pallet QTY = 0,Pallet QTY = 1,Pallet QTY = Case QTY,Pallet dims = 0,Pallet dims = Each dims,Pallet dims = Inner Pack dims,Pallet dims = Case dims,Pallet dims < Each dims,Pallet dims < Inner Pack dims,Pallet dims < Case dims,Pallet weight = 0,Pallet weight = Each weight,Pallet weight = Inner Pack weight,Pallet weight = Case weight,Pallet_weight_incorrect,Pallet_UPC_duplicate_found,Pallet_UPC_invalid,Pallet UPC = Each UPC,Pallet UPC = Inner Pack UPC,Pallet UPC = Case UPC,Pallet_Level_packaging_format_incorrect,Requires Case level,Data_missing_for_all_levels,Duplicate_UPC_at_all_levels,UOM_and_PKG_Qty_mismatch,AUOM data < BUOM data,HDS SKU# duplicate found,Base dims = 1,Each dims = 1,Inner Pack dims = 1,Inner_Pack_QTY_is_incorrect,Case dims = 1,Case_QTY_is_incorrect,Pallet dims = 1,Pallet_QTY_is_incorrect,Pallet_dims_seem_high,DC_Ready
412924,20091107,CA41211,Cleveland Faucet Group Capstone Lavatory Faucet Chrome Two Handle With Pop-Up,0000018073,CLEVELAND FAUCET GROUP,24555515,Faucets/Showerheads,Bathroom Faucets,EA,1,1,1,1,HAWA,ZNOR,EA,EA,8.250,7.300,5.400,3.63,810475001125,0.188,1,1,8.250,7.300,5.400,3.630,810475001125,0.188,EA,,,,,,,,,,,,,,,,,6,21.500,17.000,6.000,23.740,10810475001122,1.269,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
521985,20160311,S-4200-E175,"Speakman Echo Low Flow Shower Head, Polished Chrome, 1.75 GPM",0000010755,SPEAKMAN COMPANY,24302700,Faucets/Showerheads,Showerheads & Accessories,EA,1,1,1,1,HAWA,ZNOR,EA,EA,4.750,4.750,3.750,0.74,671252119484,0.049,1,1,4.750,4.750,3.750,0.740,671252119484,0.049,EA,,,,,,,,,,,,,,,,,24,19.500,10.500,12.250,19.200,10671252119481,1.452,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
203735,20210726,Z8048WKFR01,"Maintenance Warehouse® 40x48 Black 22 Micron, 6/25, Hdpe Can Liners Case Of 150",0000042214,HERITAGE BAG CO.,02151201,Janitorial/Cleaning,Trash Liners,CS,1,1,1,1,HAWA,ZNOR,CS,CS,19.600,13.100,5.500,16.93,098241180599,0.817,150,,,,,,,,,,,,,,,,,,,,,,,,,1,19.600,13.100,5.500,16.930,098241180599,0.817,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
181912,20091107,181912,"Janitor Cart With Tool Accessory Holders & 25 Gallon Vinyl Bag, 38""hx29""wx20""d",0000040956,MATSUDARIKA INDUSTRIAL LIMITED,02011745,Janitorial/Cleaning,Cleaning Tools,EA,1,1,1,1,HAWA,ZNOR,EA,EA,37.790,9.440,22.830,31.9,886981000044,4.713,1,1,37.790,9.440,22.830,31.900,886981000044,4.713,EA,,,,,,,,,,,,,,,,,,,,,,,,,10,48.000,40.000,50.500,346.000,,56.111,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
345136,20240313,TSMWR2302,Seasons Round Wood Toilet Seat White Premium,2000501174,"FGI INDUSTRIES, INC. (NINGBO)",26705701,Kitchen & Bath,Toilet Seats,EA,1,1,1,1,HAWA,ZNOR,EA,EA,18.030,14.800,2.760,7.93,194671051031,0.426,1,1,18.030,14.800,2.760,7.930,194671051031,0.426,EA,,,,,,,,,,,,,,,,,6,14.960,17.100,18.810,50.700,30194671051032,2.785,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
364083,20250116,C008045-PL30,"Aquaguard Alkalinity Boost Plus, 30 Lb",2000503106,HAVILAND CONSUMER PRODUCTS,03000702,Grounds,Pool Chemicals,EA,1,1,1,1,HAWA,ZNOR,EA,EA,12.180,12.180,10.440,30,194671059433,0.896,1,1,12.180,12.180,10.440,30.000,194671059433,0.896,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
373226,20250225,R5A4S18AKANA,"Smartcomfort By Carrier R454b, 1.5 Ton, 13.4 Seer2 Ac North Region",0000014420,INTERNATIONAL COMFORT PRODUCTS,06404018,HVAC,Condensing Units,EA,1,1,1,1,HAWA,ZNOR,EA,EA,26.100,26.100,33.000,129,810150849899,13.009,1,1,26.100,26.100,33.000,129.000,810150849899,13.009,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
402592,20150821,RC100,Frost King® 100' Roof And Gutter De-Icing Cable Kit,0000012447,THERMWELL,26551503,Kitchen & Bath,Metal & Plastic Tubular,EA,1,1,1,1,HAWA,ZNOR,EA,EA,3.000,8.500,10.500,3.7,077578015309,0.155,1,1,3.000,8.500,10.500,3.700,077578015309,0.155,EA,,,,,,,,,,,,,,,,,3,11.000,8.500,9.500,11.100,10077578015306,0.514,CS,240,48.000,40.000,38.000,907.000,90077578015302,42.222,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
148260,20091107,861-SET,Mat 4-Piece Seat Wrench Set With Vinyl Pouch,0000005998,EZ-FLO INTERNATIONAL,04602505,Tools,Hand Tools,EA,1,1,1,1,HAWA,ZNOR,EA,EA,8.300,3.250,1.400,1.035,091712451617,0.022,1,1,8.300,3.250,1.400,1.035,091712451617,0.022,EA,,,,,,,,,,,,,,,,,50,6.400,3.000,3.100,53.000,10091712451614,0.034,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
373969,20250325,VR-SCPR-TK7680,"Cotton Bay Select Cvc King Mattress Pad Fitted 76""x80"" Case Of 8",0000044548,"VARA HOME FASHIONS, LIMITED LCL",19860712,Textiles,Mattress Pads Covers Toppers,CS,1,1,1,1,HAWA,ZNOR,CS,CS,18.500,15.000,29.930,34.05,194671060903,4.806,8,,,,,,,,,,,,,,,,,,,,,,,,,1,18.500,15.000,29.930,34.050,194671060903,4.806,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
223539,20221216,ST10RA2-H,"Seasons 10,000 BTU 230/208-Volt Through The Wall Unit Air Conditioner With Heat",2000500529,MIDEA AMERICA CORP - SHANGHAI,06403917,HVAC,Wall Air Conditioners,EA,1,1,1,1,HAWA,ZNOR,EA,EA,26.570,27.950,16.930,78.48,194671044231,7.276,1,1,26.570,27.950,16.930,78.480,194671044231,7.276,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
569080,20091107,569080,Tank To Bowl Gasket Replacement For American Standard Package Of 5,0000029917,"GLOBAL D.E.S. GROUP, LTD",26554007,Kitchen & Bath,Toilet & Tank Repair,PKG,1,1,1,1,HAWA,ZNOR,PKG,PKG,3.540,3.540,1.060,0.55,752340000362,0.008,5,,,,,,,,,1,3.540,3.540,1.060,0.550,752340000362,0.008,PKG,,,,,,,,,20,19.350,7.900,10.200,12.210,752340001055,0.902,CS,1040,48.000,40.000,43.400,616.200,,48.222,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
403341,20120816,403341,"Maintenance Warehouse® Stainless Steel Faucet Supply Line 20"" 1/2 Comp X 1/2 Fip",0000043742,CSB INTERNATIONAL PRODUCTS (YUHUAN),26553506,Kitchen & Bath,Water Supply & Fittings,EA,1,1,1,1,HAWA,ZNOR,EA,EA,20.000,1.030,1.030,0.28,194671029993,0.012,1,1,20.000,1.030,1.030,0.280,194671029993,0.012,EA,,,,,,,,,,,,,,,,,25,21.700,4.900,3.700,7.200,30194671029994,0.228,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
350718,20190816,R92MSN0601714A,Smartcomfort By Carrier 92.1% Afue Gas Furnace 60k BTU,0000014420,INTERNATIONAL COMFORT PRODUCTS,06404221,HVAC,"Air Handlers, Furnaces & Coils",EA,1,1,1,1,HAWA,ZNOR,EA,EA,30.812,19.375,37.750,137.6,810074170031,13.042,1,1,30.812,19.375,37.750,137.600,810074170031,13.042,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
402568,20120816,TL182NH,"Moen® Chateau® Shower Trim Kit Chrome, 2.5 Gpm, Chrome",0000006610,MOEN INC. NO BATH HARDWARE,24556004,Faucets/Showerheads,Shower & Tub Repair Parts,EA,1,1,1,1,HAWA,ZNOR,EA,EA,3.750,3.750,4.000,1.33,026508208496,0.033,1,1,3.750,3.750,4.000,1.330,026508208496,0.033,EA,,,,,,,,,,,,,,,,,12,15.250,22.500,8.500,17.355,10026508208493,1.688,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
664740,20180205,CP 327,"Shurtape Cp 327 Blue Containment Tape - Blue - 1.88"" X 55m - Case Of 24",0000026399,SHURTAPE,01101002,Paint & Sundries,Tapes & Adhesives,CS,1,1,1,1,HAWA,ZNOR,CS,CS,10.400,10.300,12.150,15.34,10040074038872,0.753,24,,,,,,,,,,,,,,,,,,,,,,,,,1,10.400,10.300,12.150,15.340,10040074038872,0.753,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
557857,20130829,22900Q,"Roberts 7"" Power PRO Tile Wet Saw",0000020621,QEP,04604503,Tools,Power Tools,EA,1,1,1,1,HAWA,ZNOR,EA,EA,23.500,20.000,9.500,32.985,010306229005,2.584,1,1,23.500,20.000,9.500,32.985,010306229005,2.584,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
128051,20091107,GYM-DISP,"Klean-Up Facility Wipe Dispenser, Wall Mount, Heavy-Duty Plastic",0000019992,CROWN PRODUCTS,02150712,Janitorial/Cleaning,Cleaning Chemicals,EA,1,1,1,1,HAWA,ZNOR,EA,EA,13.800,10.500,10.300,3.09,839952005890,0.864,1,1,13.800,10.500,10.300,3.090,839952005890,0.864,EA,,,,,,,,,,,,,,,,,,,,,,,,,63,48.000,40.000,46.000,225.000,,51.111,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
763725,20091107,LB-DRT-GEN,Generic Draw Tape Laundry Bag Case Of 1000,0000041267,"RDI-USA, INC",14860607,Hospitality Supply,Guest Room Printed Supplies,CS,1,1,1,1,HAWA,ZNOR,CS,CS,19.800,19.700,5.050,27.3,816215023747,1.140,1000,,,,,,,,,,,,,,,,,,,,,,,,,1,19.800,19.700,5.050,27.300,816215023747,1.140,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
190069,20170621,68104,Sanitaire Rl Premium Paper Bag 68104 Package Of 5,0000044248,BISSELL INTERNATIONAL TRADING,02011808,Janitorial/Cleaning,Cleaning Equipment,CS,10,1,1,10,HAWA,ZNOR,PKG,PKG,10.750,0.820,6.500,0.4,023169149205,0.033,5,1,10.750,0.820,6.500,0.037,,0.033,EA,1,10.750,0.820,6.500,0.400,023169149205,0.033,PKG,,,,,,,,,10,11.950,9.750,8.950,4.150,10023169149202,0.603,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
295926,20230705,HiltonT14x24,"Bio Laundry Bag, 14x24 Tear Tape White Film Case Of 1000",2000500965,"MULTIPLAST SYSTEMS, INC.",14860608,Hospitality Supply,Guest Room Printed Supplies,CS,1,1,1,1,HAWA,ZNOR,CS,CS,15.100,12.950,4.500,18,791090147286,0.509,1000,,,,,,,,,,,,,,,,,,,,,,,,,1,15.100,12.950,4.500,18.000,791090147286,0.509,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
548829,20150813,548829,Replacement For Glacier Bay Bath/kitchen Faucet Cold Stem S-Broach,0000044652,"BASSCO SUPPLY CO., LTD",24552700,Faucets/Showerheads,Faucet & Sink Repair Parts,EA,1,1,1,1,HAWA,ZNOR,EA,EA,3.900,3.900,1.000,0.07,4713294881212,0.009,1,1,3.900,3.900,1.000,0.070,4713294881212,0.009,EA,,,,,,,,,,,,,,,,,100,7.600,7.600,6.600,7.500,14713294881219,0.221,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
